star_name, ra, dec, vr, pmra, pmdec, simbad_name, alt_simbad_name
HD142331, 15 54 19.788, -08 34 49.37, -70.8, -105.98, -23.73,  ,  
HD158485, 17 26 04.837, +58 39 06.83, -30, -9.10, 14.67, HR 6514,  
HD159222, 17 32 00.992, +34 16 16.13, -52, -240.70, 63.71, HR 6538,  
HD160617, 17 42 49.324, -40 19 15.51, +100, -62.39, -393.23,  ,  
HD163466, 17 52 25.376, +60 23 46.94, -16, -2.73, 42.67,  ,  
HD165459, 18 02 30.741, +58 37 38.16, -19.2, -13.06, 24.61,  ,  
HD167060, 18 17 44.143, -61 42 31.62, +15.2, 88.52, -145.15,  ,  
HD172728, 18 37 33.517, +62 31 35.67, -10.5, -8.98, 49.58,  ,  
HD180609, 19 12 47.200, +64 10 37.17,  , -3.06, -7.79,  ,  
HD185975, 20 28 18.740, -87 28 19.94, -19, 169.76, -56.99,  ,  
HD200654, 21 06 34.751, -49 57 50.28, -45, 193.94, -273.89,  ,  
HD200775, 21 01 36.921, +68 09 47.79, -3.4, 7.60, -2.82,  ,  
HD205905, 21 39 10.151, -27 18 23.67, -17, 384.10, -83.96,  ,  
HD209458, 22 03 10.773, +18 53 03.55, -15, 29.58, -17.89,  ,  
HS2027+0651, 20 29 32.506, +07 01 07.70,  , 9.24, 1.53, WD2027+0651,  
HZ4, 03 55 21.988, +09 47 18.13, +82.1, 173.27, -5.57, WD0352+096,  
HZ21, 12 13 56.264, +32 56 31.36,  , -100.88, 30.13, WD1211+332,  
HZ43, 13 16 21.853, +29 05 55.38, +54, -157.96, -110.23, WD1314+293,  
HZ43B, 13 16 21.495, +29 05 53.07,  ,  ,  ,  ,  
HZ44, 13 23 35.263, +36 07 59.55,  , -66.27, -4.52, WD1321+364,  
KF01T5, 18 04 03.894, +66 55 43.81, -22, -0.40, 0.47, 2MASS J18040388+6655437, [RMC2005] KF01T5
KF06T1, 17 57 58.486, +66 52 29.41, -41, -2.13, -8.70, 2MASS J17575849+6652293, [RMC2005] KF06T1
KF06T2, 17 58 37.995, +66 46 52.11,  , 0.62, -4.42, 2MASS J17583798+6646522, [RMC2005] KF06T2
KF08T3, 17 55 16.216, +66 10 11.61, -50, 2.09, -6.39, 2MASS J17551622+6610116, [RMC2005] KF08T3
KSI2 CETI, 02 28 09.557, +08 27 36.22, +12, 23.71, -4.79,  ,  
LAMBDA LEP, 05 19 34.524, -13 10 36.44, +20, -3.30, -4.91,  ,  
LDS749B, 21 32 16.233, +00 15 14.40, -81, 413.23, 27.27, LAWD87, WD2129+000
MU COL, 05 45 59.895, -32 18 23.16, +109, 2.99, -22.03,  ,  
NGC2506-G31, 08 00 14.212, -10 47 29.47,  ,  ,  ,  ,  
NGC6681-1, 18 43 13.319, -32 17 25.36, 218.7,  ,  ,  ,  
NGC6681-2, 18 43 13.165, -32 17 25.82, 218.7,  ,  ,  ,  
NGC6681-3, 18 43 13.041, -32 17 25.41, 218.7,  ,  ,  ,  
NGC6681-4, 18 43 12.893, -32 17 26.43, 218.7,  ,  ,  ,  
NGC6681-5, 18 43 12.872, -32 17 26.56, 218.7,  ,  ,  ,  
NGC6681-6, 18 43 12.755, -32 17 25.69, 218.7,  ,  ,  ,  
NGC6681-7, 18 43 12.639, -32 17 27.09, 218.7,  ,  ,  ,  
NGC6681-8, 18 43 12.278, -32 17 27.51, 218.7,  ,  ,  ,  
NGC6681-9, 18 43 12.199, -32 17 27.11, 218.7,  ,  ,  ,  
NGC6681-10, 18 43 12.146, -32 17 26.58, 218.7,  ,  ,  ,  
NGC6681-11, 18 43 12.049, -32 17 27.52, 218.7,  ,  ,  ,  
NGC6681-12, 18 43 11.902, -32 17 27.91, 218.7,  ,  ,  ,  
P041C, 14 51 57.980, +71 43 17.39, -22, -49.32, 19.58, 2MASS J14515797+7143173, GSPC P 41-C
P177D, 15 59 13.579, +47 36 41.91,  , -7.90, 1.57, 2MASS J15591357+4736419, GSPC P177-D
P330E, 16 31 33.813, +30 08 46.40, -53, -8.99, -38.77, 2MASS J16313382+3008465, GSPC P330-E
SDSS132811, 13 28 11.498, +46 30 50.94,  , -130.86, -30.80, SDSS J132811.45+463050.8, WD1326+467
SF1615+001A, 16 18 14.240, +00 00 08.61,  , 2.40, -10.94, 2MASS J16181422+0000086, [B2010] SF1615+001A
SIGMA ORI, 05 38 44.765, -02 36 00.28, +29.9, 4.6, -0.4,  ,  
SIRIUS, 06 45 08.917, -16 42 58.02, -6, -546.01, -1223.1,  ,  
SNAP-1, 16 29 35.747, +52 55 53.61,  , -3.16, -20.80, 2MASS J16293576+5255532,  
SNAP-2, 16 19 46.103, +55 34 17.86,  , -2.91, -10.95, 2MASS J16194609+5534178,  
VB8, 16 55 35.256, -08 23 40.75, +15, -813.42, -870.61,  ,  
WD0148+467, 01 52 02.962, +47 00 06.65, +64.0, 4.64, 122.02,  ,  
WD0227+050, 02 30 16.628, +05 15 50.70, +16.5, 76.96, -24.50,  ,  
WD0809+177, 08 12 37.809, +17 37 01.43,  , 73.48, -87.17,  ,  
WD1105-048, 11 07 59.950, -05 09 26.03, +47.9, -55.55, -442.63,  ,  
WD1105-340, 11 07 47.897, -34 20 51.49,  , 39.89, -263.43,  ,  
WD1202-232, 12 05 26.674, -23 33 12.14, +23.3, 41.82, 226.56,  ,  
WD1327-083, 13 30 13.637, -08 34 29.47, +36, -1111.1, -472.38, Gaia DR2 3630035787972473600,  
WD1544-377, 15 47 30.021, -37 55 08.46, +21.1, -423.69, -209.11,  ,  
WD1713+695, 17 13 06.091, +69 31 25.51,  , -55.51, -343.04,  ,  
WD1911+536, 19 12 48.566, +53 43 13.45,  , 144.45, 136.06,  ,  
WD1919+145, 19 21 40.418, +14 40 41.40, +49.5, -33.02, -75.93,  ,  
WD2039-682, 20 44 21.459, -68 05 21.36, +57.0, 182.10, -228.17,  ,  
WD2117+539, 21 18 56.264, +54 12 41.24,  , -85.45, 193.19,  ,  
WD2126+734, 21 26 57.656, +73 38 44.67, 8.0, 55.34, -314.20,  ,  
WD2149+021, 21 52 25.379, +02 23 19.58, +28.2, 15.32, -300.53,  ,  
WD2341+322, 23 43 50.721, +32 32 46.73, -15.7, -215.82, -59.74, Gaia DR2 2871730307948650368, LAWD93
WD0308-565, 03 09 47.918, -56 23 49.41, -68, 149.24, 66.92,  ,  
WD0320-539, 03 22 14.820, -53 45 16.47, +57.8, 6.56, -59.93,  ,  
WD0947+857, 09 57 54.296, +85 29 40.88,  , -28.13, -27.27,  ,  
WD1026+453, 10 29 45.295, +45 07 04.93,  , -90.46, 1.68,  ,  
WD1057+719, 11 00 34.243, +71 38 02.92, +76, -43.64, -21.75,  ,  
WD1657+343, 16 58 51.113, +34 18 53.32,  , 8.77, -31.23, Gaia DR2 1337946019956816256,  
WDFS0122-30, 01 22 00.700, -30 52 03.75,  , 20.62, -12.30, Gaia DR2 5028544686500198144, 2QZ J012200.6-305203
WDFS0248+33, 02 48 54.960, +33 45 48.32, +47.4, 4.09, -4.76, SDSS J024854.96+334548.3,  
WDFS0458-56, 04 58 22.855, -56 37 34.50,  , 143.60, 66.49, Gaia DR3 4764189621230467584,  
WDFS0639-57, 06 39 41.434, -57 12 31.86,  , 17.51, 43.58, Gaia DR3 5484605140287436416,  
WDFS0956-38, 09 56 57.020, -38 41 29.53,  , -8.27, -46.08, Gaia DR3 5421579652019276160,  
WDFS1055-36, 10 55 25.384, -36 12 15.47,  , -21.35, 46.13, Gaia DR3 5401230062610609920,  
WDFS1110-17, 11 10 59.429, -17 09 54.18, +83.9, 5.45, -8.02, SDSS J111059.44-170954.2,  
WDFS1206-27, 12 06 20.351, -27 29 40.68,  , 3.02, 2.80, WD1203-272,  
WDFS1214+45, 12 14 05.111, +45 38 18.40,  , 0.28, 13.92, WD1211+459,  
WDFS1302+10, 13 02 34.436, +10 12 38.99,  , -12.86, -16.84, WD1300+104,  
WDFS1434-28, 14 34 59.587, -28 19 03.59,  , -48.56, 18.60, Gaia DR3 6222123588482712832,  
WDFS1514+00, 15 14 21.273, +00 47 52.81, +15.6, 4.35, -26.86, WD1511+009, SDSSJ151421.27+004752.8
WDFS1535-77, 15 35 45.310, -77 24 44.13,  , -26.88, -43.75, WD1529-772,  
WDFS1557+55, 15 57 45.402, +55 46 09.70,  , -11.68, -21.48, WD1556+559,  
WDFS1814+78, 18 14 24.138, +78 54 02.90,  , -10.74, 11.54, WD1817+788,  
WDFS1837-70, 18 37 17.874, -70 02 51.30,  , 10.38, -75.99, Gaia DR3 6431766714636858240,  
WDFS1930-52, 19 30 18.957, -52 03 46.02,  , 21.55, -33.29, Gaia DR3 6646236009641999488,  
WDFS2317-29, 23 17 20.289, -29 03 22.05,  , 3.99, 25.05, WD2314-293,  
WDFS2351+37, 23 51 44.297, +37 55 42.73, +78.5, -16.41, -9.94, SDSS J235144.29+375542.6,  
