Star_name,Note,Sp_Type,G,V,B-V,Name,Model,STIS,Var
KSI2 CETI,,B9III,,4.28,-0.04,ksi2ceti,_mod_006,_stis_008,
LAMBDA LEP,,B0.5V,,4.29,-0.25,lamlep,_mod_006,_stis_008,0.35
LDS749B,,DBQ4,,14.674,-0.04,lds749b,_mod_007,_stisnic_008,
MU COL,,O9.5V,,5.18,-0.28,mucol,_mod_006,_stis_008,0.12
NGC2506-G31,,G1V,,17.9,0.7,ngc2506g31,_mod_005,_stis_005,
NGC6681-1,,...,,15.77,0.18,ngc6681_1,,_stis_002,
NGC6681-2,,...,,16.20,0.05,ngc6681_2,,_stis_002,
NGC6681-3,,...,,16.90,0.03,ngc6681_3,,_stis_002,
NGC6681-4,,...,,16.14,0.04,ngc6681_4,,_stis_002,
NGC6681-5,,...,,16.37,0.03,ngc6681_5,,_stis_002,
NGC6681-6,,...,,16.20,0.04,ngc6681_6,,_stis_002,
NGC6681-7,,...,,16.05,1.24,ngc6681_7,,_stis_002,
NGC6681-8,,...,,17.01,-0.01,ngc6681_8,,_stis_002,
NGC6681-9,,...,,15.80,0.18,ngc6681_9,,_stis_002,
NGC6681-10,,...,,19.14,-0.14,ngc6681_10,,_stis_002,
NGC6681-11,,...,,15.65,0.22,ngc6681_11,,_stis_002,
NGC6681-12,,...,,17.62,-0.08,ngc6681_12,,_stis_002,
P041C,9,GOV,,12.16,0.68,p041c,_mod_005,_stisnic_010*,<0.44
P177D,,G0V,,13.49,0.60,p177d,_mod_006,_stisnic_011*,<1.00
P330E,,G2V,,12.92,0.64,p330e,_mod_008,_stiswfcnic_007*,<0.76
SDSS132811,,DA,,g=17.01,...,sdss132811,,_stis_004,
SF1615+001A,,G,,16.75,0.49,sf1615_001a,_mod_006,_stisnic_011,
SIGMA ORI,,O9.5V+B0.2V,,3.79,-0.21,sigori,,_stis_001,
SIRIUS,,A1V,,-1.46,0.00,sirius,_mod_005,_stis_005*,
SNAP-2,,G0-5,,16.23,0.86,snap2,_mod_007,_stiswfcnic_006,
VB8,,M7V,,16.92,1.8,vb8,,_stiswfcnic_004,
WD0148+467,,DA3.6,,12.46,0.06,wd0148_467,_mod_001,_stiswfc_002,
WD0227+050,,DA2.5,,12.80,-0.05,wd0227_050,_mod_001,_stiswfc_003,
WD0809+177,,DA,,13.46,,wd0809_177,_mod_001,_stiswfc_003,
WD1105-048,,DA3,,13.06,0.04,wd1105_048,_mod_001,_stiswfc_003,
WD1105-340,,DA3.6,,13.63,0.16,wd1105_340,_mod_001,_stiswfc_003,
WD1202-232,,DA5.7,,12.90,0.14,wd1202_232,,_stiswfc_002,
WD1327-083,,DA3.5,,12.34,0.06,wd1327_083,_mod_001,_stiswfc_005,
WD1544-377,,DA4.8,,12.80,0.30,wd1544_377,,_stiswfc_002,
WD1713+695,,DA3.2,,13.20,~0.2,wd1713_695,_mod_001,_stiswfc_003,
WD1911+536,,DA,,13.26,~-0.1,wd1911_536,_mod_001,_stiswfc_002,
WD1919+145,,DA3.3,,13.01,0.06,wd1919_145,_mod_001,_stiswfc_002,
WD2039-682,,DA3.0,,13.30,0.05,wd2039_682,_mod_001,_stiswfc_002,
WD2117+539,,DA3.4,,12.81,,wd2117_539,_mod_001,_stiswfc_003,
WD2126+734,,DA3.1,,12.83,-0.03,wd2126_734,_mod_001,_stiswfc_003,
WD2149+021,,DA2.8,,12.74,-0.01,wd2149_021,_mod_001,_stiswfc_002,
WD2341+322,,DA3.8,,12.94,0.12,wd2341_322,_mod_001,_stiswfc_005,
WD0308-565,,sdB,,14.07,-0.11,wd0308_565,_mod_007,_stis_009,
WD1057+719,,DA1.2,,14.68,...,wd1057_719,_mod_009,_stisnic_011,
WD1657+343,,DA.9,,16.1,...,wd1657_343,_mod_009,_stiswfcnic_006,
WDFS0122-30,,DA,18.66,-,...,wdfs0122_30,_mod_001,_stis_001,
WDFS0248+33,,DA,18.52,-,...,wdfs0248_33,_mod_001,_stis_001,
WDFS0458-56,,DA,17.96,-,...,wdfs0458_56,_mod_001,_stis_001,
WDFS0639-57,,DA,18.37,-,...,wdfs0639_57,_mod_001,_stis_001,
WDFS0956-38,,DA,18.00,-,...,wdfs0956_38,_mod_001,_stis_001,
WDFS1055-36,,DA,18.20,-,...,wdfs1055_36,_mod_001,_stis_001,
WDFS1110-17,,DA,18.05,-,...,wdfs1110_17,_mod_001,_stis_001,
WDFS1206-27,,DA,16.67,-,...,wdfs1206_27,_mod_001,_stis_001,
WDFS1214+45,,DA,17.98,-,...,wdfs1214_45,_mod_001,_stis_001,
WDFS1302+10,,DA,17.24,-,...,wdfs1302_10,_mod_001,_stis_001,
WDFS1434-28,,DA,18.10,-,...,wdfs1434_28,_mod_001,_stis_001,
WDFS1514+00,,DA,15.88,-,...,wdfs1514_00,_mod_001,_stis_001,
WDFS1535-77,,DA,16.76,-,...,wdfs1535_77,_mod_001,_stis_001,
WDFS1557+55,,DA,17.69,-,...,wdfs1557_55,_mod_001,_stis_001,
WDFS1814+78,,DA,16.74,-,...,wdfs1814_78,_mod_001,_stis_001,
WDFS1837-70,,DA,17.91,-,...,wdfs1837_70,_mod_001,_stis_001,
WDFS1930-52,,DA,17.67,-,...,wdfs1930_52,_mod_001,_stis_001,
WDFS2317-29,,DA,18.53,-,...,wdfs2317_29,_mod_001,_stis_001,
WDFS2351+37,,DA,18.23,-,...,wdfs2351_37,_mod_001,_stis_001,
